number	korean	example_ko	example_en
900	속	상자 속에 넣어요	put inside box
901	속도	속도가 빨라요	speed is fast
902	속옷	속옷을 샀어요	bought underwear
903	손	손을 씻어요	wash hands
904	손가락	손가락을 다쳤어요	hurt finger
905	손녀	손녀가 예뻐요	granddaughter is pretty
906	손님	손님이 오셨어요	guest came
907	손바닥	손바닥이 커요	palm is big
908	손수건	손수건을 샀어요	bought handkerchief
909	송편	추석에 송편을 먹어요	eat songpyeon on Chuseok
910	쇼핑	주말에 쇼핑을 가요	go shopping on weekend
911	수	수가 많아요	number is many
912	수건	수건을 빌려 주세요	lend me towel please
913	수고	수고 많으셨어요	you worked hard
914	수박	수박이 달아요	watermelon is sweet
915	수술	내일 수술을 받아요	get surgery tomorrow
916	수업	수업이 끝났어요	lesson ended
917	수영	수영을 배워요	learn swimming
918	수영복	수영복을 샀어요	bought swimsuit
919	수영장	수영장에 가요	go to swimming pool
920	수요일	수요일에 만나요	meet on Wednesday
921	수저	수저를 놓아요	put down spoon and chopsticks
922	수첩	수첩에 적어요	write in notebook
923	숙제	숙제를 했어요	did homework
924	순두부찌개	순두부찌개를 먹어요	eat tofu stew
925	순서	순서대로 하세요	do in order please
926	숟가락	숟가락을 주세요	give me spoon please
927	술	술을 마셔요	drink alcohol
928	술집	친구랑 술집에 가요	go to bar with friend
929	숫자	숫자를 세요	count the numbers
930	쉬다	집에서 쉬어요	rest at home
931	쉬다	숨을 쉬어요	breathe
932	쉰	나이가 쉰이에요	age is fifty
933	쉽다	문제가 쉬워요	problem is easy
934	슈퍼마켓	슈퍼마켓에서 장을 봐요	shop at supermarket
935	스무	스무 살이에요	twenty years old
936	스물	나이가 스물이에요	age is twenty
937	스스로	스스로 결정해요	decide by oneself
938	스웨터	스웨터를 입어요	wear sweater
939	스카프	스카프를 매요	wear scarf
940	스케이트	스케이트를 타요	ride skate
941	스키	겨울에 스키를 타요	ski in winter
942	스키장	스키장에 가요	go to ski resort
943	스타	유명한 스타를 봤어요	saw famous star
944	스트레스	스트레스가 많아요	stress is much
945	스파게티	스파게티를 먹어요	eat pasta
946	스포츠	스포츠를 좋아해요	like sports
947	슬퍼하다	친구가 슬퍼해요	friend is in sorrow
948	슬프다	슬픈 영화를 봤어요	watched sad movie
949	슬픔	슬픔을 느껴요	feel sadness
950	습관	좋은 습관을 길러요	develop good habit
951	시	어느 시에 살아요	which city do you live in
952	시	몇 시예요	what hour is it
953	시간	시간이 없어요	don't have time
954	시간표	시간표를 봐요	look at schedule
955	시계	시계를 봤어요	looked at watch
956	시골	시골에 살아요	live in countryside
957	시끄럽다	너무 시끄러워요	too noisy
958	시내	시내에 나가요	go out downtown
959	시다	김치가 셔요	kimchi is sour
960	시민	서울 시민이에요	Seoul citizen
961	시어머니	시어머니를 모셔요	look after mother-in-law
962	시원하다	물이 시원해요	water is cool
963	시월	시월에 단풍을 봐요	see autumn leaves in October
964	시작	수업 시작이에요	class start
965	시장	시장에서 장을 봐요	shop at market
966	시청	시청 앞에서 만나요	meet in front of city hall
967	시키다	음식을 시켰어요	asked someone to order food
968	시험	내일 시험이 있어요	have exam tomorrow
969	식구	우리 식구는 넷이에요	our family members are four
970	식다	국이 식었어요	soup got cold
971	식당	식당에서 밥을 먹어요	eat rice at restaurant
972	식빵	식빵을 샀어요	bought bread
973	식사	식사하셨어요	did you have meal
974	식초	식초를 넣어요	put in vinegar
975	식탁	식탁을 닦아요	wipe the table
976	식품	건강 식품을 먹어요	eat health food
977	신다	구두를 신어요	put on shoes
978	신랑	신랑이 멋있어요	groom is cool
979	신문	신문을 읽어요	read newspaper
980	신발	신발을 벗어요	take off shoes
981	신부	신부가 예뻐요	bride is pretty
982	신분증	신분증을 보여 주세요	show me ID card
983	신선하다	신선한 야채를 샀어요	bought fresh vegetables
984	신청	신청을 했어요	made application
985	신호	신호를 기다려요	wait for signal
986	신호등	신호등 앞에서 서요	stand in front of traffic light
987	신혼여행	제주도로 신혼여행을 가요	go to Jeju for honeymoon
988	싣다	짐을 차에 실어요	load luggage in car
989	실례	실례지만 몇 살이에요	excuse me but how old are you
990	실수	실수를 했어요	made mistake
991	실패	시험에 실패했어요	failed in exam
992	싫다	야채가 싫어요	hate vegetables
993	싫어하다	매운 음식을 싫어해요	dislike spicy food
994	심다	나무를 심어요	plant tree
995	심심하다	주말이 심심해요	weekend is bored
996	심하다	감기가 심해요	cold is severe
997	십	숫자 십이에요	number ten
998	십만	십만 원이에요	hundred thousand won
999	십이월	십이월은 겨울이에요	December is winter
